Recinto,CA,EC,EA,OR,CA-EC,EA-OR,Estilo
Turrialba,13,13,19,17,0,2,DIVERGENTE
Turrialba,17,16,16,18,1,-2,DIVERGENTE
Turrialba,17,17,13,16,0,-3,DIVERGENTE
Turrialba,19,7,20,15,12,5,CONVERGENTE
Turrialba,16,12,20,14,4,6,CONVERGENTE
Turrialba,17,13,19,14,4,5,CONVERGENTE
Turrialba,12,13,22,12,-1,10,ACOMODADOR
Turrialba,15,14,12,21,1,-9,DIVERGENTE
Turrialba,18,11,16,19,7,-3,ASIMILADOR
Turrialba,14,13,21,12,1,9,ACOMODADOR
Turrialba,17,12,19,12,5,7,CONVERGENTE
Turrialba,20,11,18,16,9,2,ASIMILADOR
Turrialba,18,9,21,15,9,6,CONVERGENTE
Turrialba,13,15,19,13,-2,6,ACOMODADOR
Turrialba,16,13,19,13,3,6,CONVERGENTE
Turrialba,19,12,16,17,7,-1,ASIMILADOR
Turrialba,13,14,18,17,-1,1,DIVERGENTE
Turrialba,14,15,19,14,-1,5,ACOMODADOR
Turrialba,17,17,15,15,0,0,DIVERGENTE
Turrialba,20,13,20,15,7,5,CONVERGENTE
Turrialba,13,16,16,18,-3,-2,DIVERGENTE
Turrialba,17,10,21,16,7,5,CONVERGENTE
Turrialba,21,11,16,14,10,2,ASIMILADOR
Turrialba,24,12,17,18,12,-1,ASIMILADOR
Turrialba,17,18,21,12,-1,9,ACOMODADOR
Turrialba,13,13,19,14,0,5,ACOMODADOR
Turrialba,14,16,16,19,-2,-3,DIVERGENTE
Turrialba,15,15,22,14,0,8,ACOMODADOR
Turrialba,12,15,19,14,-3,5,ACOMODADOR
Turrialba,15,8,19,16,7,3,CONVERGENTE
Turrialba,18,12,15,22,6,-7,ASIMILADOR
Turrialba,17,15,17,16,2,1,DIVERGENTE
Paraiso,21,11,18,13,10,5,CONVERGENTE
Paraiso,12,14,17,19,-2,-2,DIVERGENTE
Paraiso,14,14,20,15,0,5,ACOMODADOR
Paraiso,13,12,18,17,1,1,DIVERGENTE
Paraiso,14,16,16,16,-2,0,DIVERGENTE
Paraiso,19,14,19,10,5,9,CONVERGENTE
Paraiso,19,15,14,14,4,0,ASIMILADOR
Paraiso,13,13,21,15,0,6,ACOMODADOR
Paraiso,15,18,18,13,-3,5,ACOMODADOR
Paraiso,12,17,19,13,-5,6,ACOMODADOR
Paraiso,16,16,19,13,0,6,ACOMODADOR
Paraiso,14,14,20,15,0,5,ACOMODADOR
Paraiso,16,14,17,19,-2,2,DIVERGENTE
Paraiso,19,14,19,10,5,9,CONVERGENTE
Paraiso,16,16,19,13,0,6,ACOMODADOR
Paraiso,13,13,21,15,0,6,ACOMODADOR
Paraiso,13,12,18,17,1,1,DIVERGENTE
Turrialba,22,10,18,14,12,4,CONVERGENTE
Turrialba,17,15,18,14,2,4,ACOMODADOR
Turrialba,18,14,17,10,4,7,CONVERGENTE
Turrialba,13,12,20,12,1,8,ACOMODADOR
Turrialba,16,14,20,15,2,5,ACOMODADOR
Turrialba,11,19,11,16,-8,-5,DIVERGENTE
Paraiso,14,11,19,18,3,1,ASIMILADOR
Paraiso,16,10,20,15,6,5,CONVERGENTE
Paraiso,9,16,24,13,-7,11,ACOMODADOR
Turrialba,22,10,18,14,12,4,CONVERGENTE
Turrialba,13,12,20,12,1,8,ACOMODADOR
Turrialba,16,14,20,15,2,5,ACOMODADOR
Turrialba,16,16,22,13,0,9,ACOMODADOR
Turrialba,12,12,22,28,0,-6,DIVERGENTE
Turrialba,17,15,18,14,2,4,ACOMODADOR
Turrialba,11,19,11,16,-8,-5,DIVERGENTE
Turrialba,18,14,17,10,4,7,CONVERGENTE
Turrialba,17,10,20,19,7,1,ASIMILADOR
